"seed";"a";"b";"c";"d";"e";"rho1";"rho2";"err1";"err2";"flipped"
10023;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
10069;100;10;0;1;1;0.782;0.643;FALSE;FALSE;"NOT-flipped"
10216;100;10;0;1;1;0.762;0.733;FALSE;FALSE;"NOT-flipped"
10244;100;10;0;1;1;0.651;0.521;FALSE;FALSE;"NOT-flipped"
10850;100;10;0;1;1;0.613;0.636;FALSE;FALSE;"NOT-flipped"
10935;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
11098;100;10;0;1;1;0.721;0.646;FALSE;FALSE;"NOT-flipped"
11471;100;10;0;1;1;0.633;0.734;FALSE;FALSE;"NOT-flipped"
1150;100;10;0;1;1;0.693;0.623;FALSE;FALSE;"NOT-flipped"
11771;100;10;0;1;1;0.603;0.659;FALSE;FALSE;"NOT-flipped"
12519;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
12599;100;10;0;1;1;0.689;0.546;FALSE;FALSE;"NOT-flipped"
1273;100;10;0;1;1;0.651;0.531;FALSE;FALSE;"NOT-flipped"
12895;100;10;0;1;1;0.681;0.697;FALSE;FALSE;"NOT-flipped"
12934;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
12967;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1298;100;10;0;1;1;0.582;0.672;FALSE;FALSE;"NOT-flipped"
13109;100;10;0;1;1;0.7;0.691;FALSE;FALSE;"NOT-flipped"
13110;100;10;0;1;1;0.685;0.692;FALSE;FALSE;"NOT-flipped"
13213;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
13246;100;10;0;1;1;0.601;0.727;FALSE;FALSE;"NOT-flipped"
13374;100;10;0;1;1;0.713;0.551;FALSE;FALSE;"NOT-flipped"
13495;100;10;0;1;1;0.685;0.708;FALSE;FALSE;"NOT-flipped"
13543;100;10;0;1;1;0.707;0.65;FALSE;FALSE;"NOT-flipped"
1361;100;10;0;1;1;0.629;0.52;FALSE;FALSE;"NOT-flipped"
13728;100;10;0;1;1;0.766;0.578;FALSE;FALSE;"NOT-flipped"
13759;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
13810;100;10;0;1;1;0.716;0.74;FALSE;FALSE;"NOT-flipped"
1395;100;10;0;1;1;0.647;0.693;FALSE;FALSE;"NOT-flipped"
14042;100;10;0;1;1;0.646;0.662;FALSE;FALSE;"NOT-flipped"
14687;100;10;0;1;1;0.646;0.615;FALSE;FALSE;"NOT-flipped"
14797;100;10;0;1;1;0.666;0.637;FALSE;FALSE;"NOT-flipped"
14800;100;10;0;1;1;0.686;0.669;FALSE;FALSE;"NOT-flipped"
14857;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
14984;100;10;0;1;1;0.652;0.587;FALSE;FALSE;"NOT-flipped"
15487;100;10;0;1;1;0.671;0.69;FALSE;FALSE;"NOT-flipped"
15732;100;10;0;1;1;0.699;0.746;FALSE;FALSE;"NOT-flipped"
15807;100;10;0;1;1;0.596;0.582;FALSE;FALSE;"NOT-flipped"
16409;100;10;0;1;1;0.612;0.731;FALSE;FALSE;"NOT-flipped"
16434;100;10;0;1;1;0.671;0.624;FALSE;FALSE;"NOT-flipped"
1667;100;10;0;1;1;0.663;0.56;FALSE;FALSE;"NOT-flipped"
16924;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
17347;100;10;0;1;1;0.57;0.792;FALSE;FALSE;"NOT-flipped"
17718;100;10;0;1;1;0.645;0.421;FALSE;FALSE;"NOT-flipped"
17746;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
18131;100;10;0;1;1;0.644;0.649;FALSE;FALSE;"NOT-flipped"
18172;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
18267;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
18293;100;10;0;1;1;0.605;0.651;FALSE;FALSE;"NOT-flipped"
18434;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1901;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
19019;100;10;0;1;1;0.626;0.685;FALSE;FALSE;"NOT-flipped"
19037;100;10;0;1;1;0.571;0.626;FALSE;FALSE;"NOT-flipped"
19404;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1955;100;10;0;1;1;0.581;0.605;FALSE;FALSE;"NOT-flipped"
19606;100;10;0;1;1;0.675;0.678;FALSE;FALSE;"NOT-flipped"
19637;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
19807;100;10;0;1;1;0.714;0.57;FALSE;FALSE;"NOT-flipped"
2086;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
2358;100;10;0;1;1;0.685;0.689;FALSE;FALSE;"NOT-flipped"
2558;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
2598;100;10;0;1;1;0.751;0.563;FALSE;FALSE;"NOT-flipped"
2655;100;10;0;1;1;0.708;0.67;FALSE;FALSE;"NOT-flipped"
2675;100;10;0;1;1;0.693;0.688;FALSE;FALSE;"NOT-flipped"
2922;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
2961;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
3416;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
3442;100;10;0;1;1;0.583;0.656;FALSE;FALSE;"NOT-flipped"
3569;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
3981;100;10;0;1;1;0.647;0.686;FALSE;FALSE;"NOT-flipped"
4156;100;10;0;1;1;0.664;0.567;FALSE;FALSE;"NOT-flipped"
4240;100;10;0;1;1;0.721;0.71;FALSE;FALSE;"NOT-flipped"
4265;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
4365;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
4414;100;10;0;1;1;0.667;0.683;FALSE;FALSE;"NOT-flipped"
4941;100;10;0;1;1;0.577;0.38;FALSE;FALSE;"NOT-flipped"
5788;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
6518;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
6846;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
6884;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7029;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
7146;100;10;0;1;1;0.526;0.595;FALSE;FALSE;"NOT-flipped"
7195;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7412;100;10;0;1;1;0.651;0.747;FALSE;FALSE;"NOT-flipped"
7466;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7495;100;10;0;1;1;0.685;0.617;FALSE;FALSE;"NOT-flipped"
7849;100;10;0;1;1;0.656;0.649;FALSE;FALSE;"NOT-flipped"
7936;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
8100;100;10;0;1;1;0.642;0.592;FALSE;FALSE;"NOT-flipped"
8135;100;10;0;1;1;0.685;0.596;FALSE;FALSE;"NOT-flipped"
8255;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
8550;100;10;0;1;1;0.51;0.689;FALSE;FALSE;"NOT-flipped"
8564;100;10;0;1;1;0.592;0.658;FALSE;FALSE;"NOT-flipped"
8738;100;10;0;1;1;0.658;0.733;FALSE;FALSE;"NOT-flipped"
8767;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
8927;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
9532;100;10;0;1;1;0.663;0.55;FALSE;FALSE;"NOT-flipped"
9607;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
9678;100;10;0;1;1;0.596;0.545;FALSE;FALSE;"NOT-flipped"
9970;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
10023;100;10;0;1;2;0.843;0.789;FALSE;FALSE;"NOT-flipped"
10069;100;10;0;1;2;0.784;0.869;FALSE;FALSE;"NOT-flipped"
10216;100;10;0;1;2;0.796;0.756;FALSE;FALSE;"NOT-flipped"
10244;100;10;0;1;2;0.753;0.867;FALSE;FALSE;"NOT-flipped"
10850;100;10;0;1;2;0.83;0.89;FALSE;FALSE;"NOT-flipped"
10935;100;10;0;1;2;0.827;0.84;FALSE;FALSE;"NOT-flipped"
11098;100;10;0;1;2;0.891;0.808;FALSE;FALSE;"NOT-flipped"
11471;100;10;0;1;2;0.87;0.773;FALSE;FALSE;"NOT-flipped"
1150;100;10;0;1;2;0.817;0.861;FALSE;FALSE;"NOT-flipped"
11771;100;10;0;1;2;NA;NA;FALSE;TRUE;"NOT-IMP"
12519;100;10;0;1;2;0.818;0.774;FALSE;FALSE;"NOT-flipped"
12599;100;10;0;1;2;0.837;0.841;FALSE;FALSE;"NOT-flipped"
1273;100;10;0;1;2;0.794;0.835;FALSE;FALSE;"NOT-flipped"
12895;100;10;0;1;2;0.763;0.834;FALSE;FALSE;"NOT-flipped"
12934;100;10;0;1;2;0.807;0.777;FALSE;FALSE;"NOT-flipped"
12967;100;10;0;1;2;0.858;0.776;FALSE;FALSE;"NOT-flipped"
1298;100;10;0;1;2;0.836;0.718;FALSE;FALSE;"NOT-flipped"
13109;100;10;0;1;2;0.736;0.807;FALSE;FALSE;"NOT-flipped"
13110;100;10;0;1;2;0.877;0.828;FALSE;FALSE;"NOT-flipped"
13213;100;10;0;1;2;0.87;0.772;FALSE;FALSE;"NOT-flipped"
