"seed";"a";"b";"c";"d";"rho1";"rho2";"err1";"err2";"flipped"
30279;100;10;0;1;0.892;0.872;FALSE;FALSE;"flipped"
30329;100;10;0;1;0.912;0.843;FALSE;FALSE;"NOT-flipped"
30476;100;10;0;1;0.826;0.877;FALSE;FALSE;"NOT-flipped"
30505;100;10;0;1;0.899;0.899;FALSE;FALSE;"NOT-flipped"
30764;100;10;0;1;0.878;0.874;FALSE;FALSE;"NOT-flipped"
31017;100;10;0;1;0.907;0.861;FALSE;FALSE;"NOT-flipped"
31060;100;10;0;1;0.877;0.857;FALSE;FALSE;"NOT-flipped"
31146;100;10;0;1;0.901;0.865;FALSE;FALSE;"NOT-flipped"
31453;100;10;0;1;0.892;0.839;FALSE;FALSE;"NOT-flipped"
31672;100;10;0;1;0.723;0.831;FALSE;FALSE;"NOT-flipped"
31696;100;10;0;1;0.931;0.902;FALSE;FALSE;"NOT-flipped"
31749;100;10;0;1;0.859;0.861;FALSE;FALSE;"flipped"
31910;100;10;0;1;0.832;0.908;FALSE;FALSE;"NOT-flipped"
32017;100;10;0;1;0.908;0.811;FALSE;FALSE;"NOT-flipped"
32060;100;10;0;1;0.853;0.84;FALSE;FALSE;"NOT-flipped"
32478;100;10;0;1;0.875;0.905;FALSE;FALSE;"NOT-flipped"
33064;100;10;0;1;0.871;0.893;FALSE;FALSE;"NOT-flipped"
33343;100;10;0;1;0.858;0.829;FALSE;FALSE;"NOT-flipped"
33386;100;10;0;1;0.893;0.889;FALSE;FALSE;"NOT-flipped"
33626;100;10;0;1;0.893;0.869;FALSE;FALSE;"NOT-flipped"
34460;100;10;0;1;0.745;0.848;FALSE;FALSE;"flipped"
34556;100;10;0;1;0.884;0.866;FALSE;FALSE;"NOT-flipped"
34577;100;10;0;1;0.9;0.832;FALSE;FALSE;"NOT-flipped"
34677;100;10;0;1;0.847;0.927;FALSE;FALSE;"NOT-flipped"
34696;100;10;0;1;0.888;0.885;FALSE;FALSE;"NOT-flipped"
34906;100;10;0;1;0.845;0.89;FALSE;FALSE;"NOT-flipped"
35569;100;10;0;1;0.901;0.909;FALSE;FALSE;"NOT-flipped"
35585;100;10;0;1;0.847;0.886;FALSE;FALSE;"NOT-flipped"
35647;100;10;0;1;0.889;0.858;FALSE;FALSE;"flipped"
35690;100;10;0;1;0.897;0.936;FALSE;FALSE;"NOT-flipped"
35797;100;10;0;1;0.844;0.914;FALSE;FALSE;"NOT-flipped"
35889;100;10;0;1;0.903;0.849;FALSE;FALSE;"NOT-flipped"
35991;100;10;0;1;0.901;0.916;FALSE;FALSE;"NOT-flipped"
36011;100;10;0;1;0.894;0.898;FALSE;FALSE;"NOT-flipped"
36543;100;10;0;1;0.855;0.922;FALSE;FALSE;"NOT-flipped"
36865;100;10;0;1;0.861;0.882;FALSE;FALSE;"flipped"
36945;100;10;0;1;0.878;0.879;FALSE;FALSE;"flipped"
36978;100;10;0;1;0.879;0.869;FALSE;FALSE;"NOT-flipped"
37134;100;10;0;1;0.87;0.881;FALSE;FALSE;"flipped"
37434;100;10;0;1;0.882;0.895;FALSE;FALSE;"NOT-flipped"
38571;100;10;0;1;0.888;0.902;FALSE;FALSE;"flipped"
38602;100;10;0;1;0.878;0.908;FALSE;FALSE;"NOT-flipped"
38942;100;10;0;1;0.84;0.772;FALSE;FALSE;"NOT-flipped"
