"seed";"a";"b";"c";"d";"e";"rho1";"rho2";"err1";"err2";"flipped"
10023;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
10069;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
10216;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
10244;100;10;0;1;1;0.648;0.621;FALSE;FALSE;"NOT-flipped"
10850;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
10935;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
11098;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
11471;100;10;0;1;1;0.644;0.737;FALSE;FALSE;"NOT-flipped"
1150;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
11771;100;10;0;1;1;0.664;0.698;FALSE;FALSE;"NOT-flipped"
12519;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
12599;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
1273;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
12895;100;10;0;1;1;0.709;0.683;FALSE;FALSE;"NOT-flipped"
12934;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
12967;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1298;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
13109;100;10;0;1;1;0.723;0.74;FALSE;FALSE;"NOT-flipped"
13110;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
13213;100;10;0;1;1;0.668;0.644;FALSE;FALSE;"NOT-flipped"
13246;100;10;0;1;1;0.675;0.631;FALSE;FALSE;"NOT-flipped"
13374;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
13495;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
13543;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1361;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
13728;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
13759;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
13810;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1395;100;10;0;1;1;0.637;0.716;FALSE;FALSE;"NOT-flipped"
14042;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
14687;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
14797;100;10;0;1;1;0.714;0.575;FALSE;FALSE;"NOT-flipped"
14800;100;10;0;1;1;0.662;0.648;FALSE;FALSE;"NOT-flipped"
14857;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
14984;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
15487;100;10;0;1;1;0.702;0.73;FALSE;FALSE;"NOT-flipped"
15732;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
15807;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
16409;100;10;0;1;1;0.699;0.668;FALSE;FALSE;"NOT-flipped"
16434;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
1667;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
16924;100;10;0;1;1;0.68;0.694;FALSE;FALSE;"NOT-flipped"
17347;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
17718;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
17746;100;10;0;1;1;0.672;0.67;FALSE;FALSE;"NOT-flipped"
18131;100;10;0;1;1;0.628;0.626;FALSE;FALSE;"NOT-flipped"
18172;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
18267;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
18293;100;10;0;1;1;0.687;0.664;FALSE;FALSE;"NOT-flipped"
18434;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
1901;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
19019;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
19037;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
19404;100;10;0;1;1;0.681;0.679;FALSE;FALSE;"NOT-flipped"
1955;100;10;0;1;1;0.65;0.622;FALSE;FALSE;"NOT-flipped"
19606;100;10;0;1;1;0.65;0.666;FALSE;FALSE;"NOT-flipped"
19637;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
19807;100;10;0;1;1;0.712;0.661;FALSE;FALSE;"NOT-flipped"
2086;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
2358;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
2558;100;10;0;1;1;0.555;0.617;FALSE;FALSE;"NOT-flipped"
2598;100;10;0;1;1;0.812;0.664;FALSE;FALSE;"NOT-flipped"
2655;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
2675;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
2922;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
2961;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
3416;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
3442;100;10;0;1;1;0.622;0.629;FALSE;FALSE;"NOT-flipped"
3569;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
3981;100;10;0;1;1;0.717;0.769;FALSE;FALSE;"NOT-flipped"
4156;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
4240;100;10;0;1;1;0.72;0.709;FALSE;FALSE;"NOT-flipped"
4265;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
4365;100;10;0;1;1;0.658;0.602;FALSE;FALSE;"NOT-flipped"
4414;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
4941;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
5788;100;10;0;1;1;0.643;0.656;FALSE;FALSE;"NOT-flipped"
6518;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
6846;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
6884;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
7029;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
7146;100;10;0;1;1;0.648;0.545;FALSE;FALSE;"NOT-flipped"
7195;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7412;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
7466;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7495;100;10;0;1;1;0.714;0.655;FALSE;FALSE;"NOT-flipped"
7849;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7936;100;10;0;1;1;0.575;0.69;FALSE;FALSE;"NOT-flipped"
8100;100;10;0;1;1;0.666;0.628;FALSE;FALSE;"NOT-flipped"
8135;100;10;0;1;1;0.752;0.662;FALSE;FALSE;"NOT-flipped"
8255;100;10;0;1;1;0.619;0.549;FALSE;FALSE;"NOT-flipped"
8550;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
8564;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
8738;100;10;0;1;1;0.648;0.814;FALSE;FALSE;"NOT-flipped"
8767;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
8927;100;10;0;1;1;0.687;0.503;FALSE;FALSE;"NOT-flipped"
9532;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
9607;100;10;0;1;1;NA;NA;TRUE;TRUE;"NOT-IMP"
9678;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
9970;100;10;0;1;1;NA;NA;FALSE;TRUE;"NOT-IMP"
10023;100;10;0;1;2;0.86;0.798;FALSE;FALSE;"NOT-flipped"
10069;100;10;0;1;2;0.817;0.868;FALSE;FALSE;"NOT-flipped"
10216;100;10;0;1;2;0.814;0.801;FALSE;FALSE;"NOT-flipped"
10244;100;10;0;1;2;0.795;0.89;FALSE;FALSE;"NOT-flipped"
10850;100;10;0;1;2;0.851;0.89;FALSE;FALSE;"NOT-flipped"
10935;100;10;0;1;2;0.825;0.844;FALSE;FALSE;"NOT-flipped"
11098;100;10;0;1;2;0.887;0.844;FALSE;FALSE;"NOT-flipped"
11471;100;10;0;1;2;0.887;0.804;FALSE;FALSE;"NOT-flipped"
1150;100;10;0;1;2;0.812;0.858;FALSE;FALSE;"NOT-flipped"
11771;100;10;0;1;2;0.76;0.748;FALSE;FALSE;"NOT-flipped"
12519;100;10;0;1;2;0.787;0.795;FALSE;FALSE;"NOT-flipped"
12599;100;10;0;1;2;0.844;0.852;FALSE;FALSE;"NOT-flipped"
1273;100;10;0;1;2;0.839;0.855;FALSE;FALSE;"NOT-flipped"
12895;100;10;0;1;2;0.805;0.83;FALSE;FALSE;"NOT-flipped"
12934;100;10;0;1;2;0.811;0.781;FALSE;FALSE;"NOT-flipped"
12967;100;10;0;1;2;0.867;0.786;FALSE;FALSE;"NOT-flipped"
1298;100;10;0;1;2;0.782;0.716;FALSE;FALSE;"NOT-flipped"
13109;100;10;0;1;2;0.765;0.811;FALSE;FALSE;"NOT-flipped"
13110;100;10;0;1;2;0.889;0.821;FALSE;FALSE;"NOT-flipped"
13213;100;10;0;1;2;0.849;0.789;FALSE;FALSE;"NOT-flipped"
13246;100;10;0;1;2;0.793;0.807;FALSE;FALSE;"NOT-flipped"
13374;100;10;0;1;2;0.864;0.864;FALSE;FALSE;"NOT-flipped"
13495;100;10;0;1;2;0.827;0.807;FALSE;FALSE;"NOT-flipped"
13543;100;10;0;1;2;0.824;0.748;FALSE;FALSE;"NOT-flipped"
1361;100;10;0;1;2;0.838;0.833;FALSE;FALSE;"NOT-flipped"
13728;100;10;0;1;2;0.717;0.868;FALSE;FALSE;"NOT-flipped"
13759;100;10;0;1;2;0.808;0.843;FALSE;FALSE;"NOT-flipped"
13810;100;10;0;1;2;0.718;0.849;FALSE;FALSE;"NOT-flipped"
1395;100;10;0;1;2;0.835;0.846;FALSE;FALSE;"NOT-flipped"
14042;100;10;0;1;2;0.803;0.823;FALSE;FALSE;"NOT-flipped"
14687;100;10;0;1;2;0.793;0.839;FALSE;FALSE;"NOT-flipped"
14797;100;10;0;1;2;0.847;0.86;FALSE;FALSE;"NOT-flipped"
