"seed";"a";"b";"c";"d";"e";"rho1_CFAMIMIC";"rho2_CFAMIMIC"
10244;100;10;0;1;1;0.838;0.864
11471;100;10;0;1;1;0.881;0.878
11771;100;10;0;1;1;0.798;0.702
12895;100;10;0;1;1;0.839;0.858
13109;100;10;0;1;1;0.863;0.896
13246;100;10;0;1;1;0.798;0.775
1395;100;10;0;1;1;0.859;0.849
14797;100;10;0;1;1;0.883;0.871
14800;100;10;0;1;1;0.844;0.828
15487;100;10;0;1;1;0.932;0.815
16409;100;10;0;1;1;0.849;0.869
18131;100;10;0;1;1;0.822;0.849
18293;100;10;0;1;1;0.742;0.9
1955;100;10;0;1;1;0.844;0.694
19606;100;10;0;1;1;0.78;0.854
19807;100;10;0;1;1;0.846;0.916
2598;100;10;0;1;1;0.929;0.754
3442;100;10;0;1;1;0.836;0.806
3981;100;10;0;1;1;0.841;0.917
4240;100;10;0;1;1;0.837;0.921
7146;100;10;0;1;1;0.864;0.818
7495;100;10;0;1;1;0.913;0.891
8100;100;10;0;1;1;0.827;0.899
8135;100;10;0;1;1;0.801;0.869
8738;100;10;0;1;1;0.753;0.895
10023;100;10;0;1;2;0.981;0.974
10069;100;10;0;1;2;0.891;0.982
10216;100;10;0;1;2;0.973;0.949
10244;100;10;0;1;2;0.952;0.987
10850;100;10;0;1;2;0.966;0.986
10935;100;10;0;1;2;0.961;0.963
11098;100;10;0;1;2;0.98;0.963
11471;100;10;0;1;2;0.978;0.979
1150;100;10;0;1;2;0.981;0.978
12519;100;10;0;1;2;0.941;0.952
12599;100;10;0;1;2;0.976;0.985
1273;100;10;0;1;2;0.958;0.978
12895;100;10;0;1;2;0.959;0.979
12934;100;10;0;1;2;0.976;0.937
12967;100;10;0;1;2;0.988;0.962
1298;100;10;0;1;2;0.904;0.899
13109;100;10;0;1;2;0.971;0.966
13110;100;10;0;1;2;0.972;0.963
13213;100;10;0;1;2;0.966;0.957
13246;100;10;0;1;2;0.965;0.972
13374;100;10;0;1;2;0.933;0.969
13495;100;10;0;1;2;0.959;0.974
13543;100;10;0;1;2;0.916;0.902
1361;100;10;0;1;2;0.979;0.984
13728;100;10;0;1;2;0.935;0.971
13759;100;10;0;1;2;0.942;0.983
13810;100;10;0;1;2;0.979;0.983
1395;100;10;0;1;2;0.972;0.964
14042;100;10;0;1;2;0.918;0.954
14687;100;10;0;1;2;0.963;0.976
14797;100;10;0;1;2;0.966;0.97
14800;100;10;0;1;2;0.984;0.974
14857;100;10;0;1;2;0.978;0.972
14984;100;10;0;1;2;0.97;0.96
15487;100;10;0;1;2;0.983;0.985
15732;100;10;0;1;2;0.937;0.963
15807;100;10;0;1;2;0.98;0.986
16409;100;10;0;1;2;0.976;0.972
16434;100;10;0;1;2;0.984;0.972
1667;100;10;0;1;2;0.973;0.965
16924;100;10;0;1;2;0.947;0.98
17347;100;10;0;1;2;0.958;0.996
17718;100;10;0;1;2;0.956;0.951
17746;100;10;0;1;2;0.984;0.973
18131;100;10;0;1;2;0.952;0.968
18172;100;10;0;1;2;0.895;0.943
18267;100;10;0;1;2;0.978;0.975
18293;100;10;0;1;2;0.971;0.947
18434;100;10;0;1;2;0.97;0.969
1901;100;10;0;1;2;0.971;0.961
19019;100;10;0;1;2;0.96;0.955
19037;100;10;0;1;2;0.963;0.872
19404;100;10;0;1;2;0.982;0.965
1955;100;10;0;1;2;0.988;0.975
19606;100;10;0;1;2;0.978;0.966
19637;100;10;0;1;2;0.97;0.973
19807;100;10;0;1;2;0.961;0.954
2086;100;10;0;1;2;0.969;0.935
2358;100;10;0;1;2;0.974;0.969
2558;100;10;0;1;2;0.96;0.965
2598;100;10;0;1;2;0.977;0.986
2655;100;10;0;1;2;0.97;0.966
2675;100;10;0;1;2;0.971;0.946
2922;100;10;0;1;2;0.953;0.96
2961;100;10;0;1;2;0.964;0.971
3416;100;10;0;1;2;0.969;0.929
3442;100;10;0;1;2;0.976;0.948
3569;100;10;0;1;2;0.943;0.976
3981;100;10;0;1;2;0.967;0.969
4156;100;10;0;1;2;0.954;0.955
4240;100;10;0;1;2;0.955;0.993
4265;100;10;0;1;2;0.974;0.942
4365;100;10;0;1;2;0.98;0.929
