"seed";"a";"b";"c";"d";"e";"rho1_CFAMIMIC";"rho2_CFAMIMIC"
1150;50;6;0;2;2;0.829;0.796
1150;50;6;0.4;1;2;0.936;0.764
1150;50;10;0;3;1;0.666;0.72
1150;50;10;0.4;1;2;0.936;0.792
1150;50;10;0.8;1;2;0.918;0.895
1150;50;16;0;1;2;0.954;0.927
1150;50;16;0.8;1;2;0.977;0.985
1150;100;6;0;1;2;0.934;0.761
1150;100;6;0.4;2;1;0.792;0.823
1150;100;6;0.4;2;2;0.958;0.975
1150;100;6;0.8;1;2;0.953;0.965
1150;100;6;0.8;2;2;0.976;0.93
1150;100;10;0;1;2;0.981;0.978
1150;100;10;0;2;2;0.959;0.98
1150;100;10;0.4;1;2;0.967;0.972
1150;100;10;0.4;2;2;0.96;0.977
1150;100;16;0;1;1;0.854;0.906
1150;100;16;0;1;2;0.986;0.983
1150;100;16;0;3;1;0.916;0.69
1150;100;16;0.4;1;2;0.984;0.98
1150;100;16;0.4;2;2;0.993;0.988
1150;100;16;0.8;1;2;0.987;0.993
1150;100;16;0.8;2;1;0.895;0.927
1150;100;16;0.8;2;2;0.98;0.973
1150;300;6;0;1;1;0.78;0.862
1150;300;6;0;1;2;0.912;0.966
1150;300;6;0;2;2;0.963;0.928
1150;300;6;0.4;1;1;0.89;0.836
1150;300;6;0.4;1;2;0.986;0.941
1150;300;6;0.4;2;1;0.794;0.835
1150;300;6;0.4;3;2;0.897;0.958
1150;300;6;0.8;1;2;0.957;0.976
1150;300;6;0.8;2;1;0.796;0.761
1150;300;6;0.8;2;2;0.971;0.981
1150;300;6;0.8;3;2;0.943;0.947
1150;300;10;0;1;1;0.837;0.883
1150;300;10;0;1;2;0.981;0.974
1150;300;10;0;2;2;0.98;0.979
1150;300;10;0.4;1;2;0.978;0.979
1150;300;10;0.4;2;1;0.806;0.847
1150;300;10;0.4;2;2;0.977;0.986
1150;300;10;0.8;1;1;0.921;0.901
1150;300;10;0.8;1;2;0.982;0.98
