"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F2.ON","C",0.1,1,"BLR","Low","Independence",50,6,"99"
"Power","F2.ON","C",0.1,2,"BLR","Low","Independence",50,10,"99"
"Power","F2.ON","C",0.1,3,"BLR","Low","Independence",50,16,"99"
"Power","F2.ON","C",0.1,4,"BLR","Low","Independence",100,6,"0.00"
"Power","F2.ON","C",0.1,5,"BLR","Low","Independence",100,10,"0.06"
"Power","F2.ON","C",0.1,6,"BLR","Low","Independence",100,16,"0.00"
"Power","F2.ON","C",0.1,7,"BLR","Low","Independence",300,6,"0.07"
"Power","F2.ON","C",0.1,8,"BLR","Low","Independence",300,10,"0.08"
"Power","F2.ON","C",0.1,9,"BLR","Low","Independence",300,16,"0.13"
"Power","F2.ON","C",0.1,10,"BLR","Low","Independence",3000,6,"0.39"
"Power","F2.ON","C",0.1,11,"BLR","Low","Independence",3000,10,"0.37"
"Power","F2.ON","C",0.1,12,"BLR","Low","Independence",3000,16,"0.57"
"Power","F2.ON","C",0.1,13,"BLR","Low","Moderate",50,6,"99"
"Power","F2.ON","C",0.1,14,"BLR","Low","Moderate",50,10,"99"
"Power","F2.ON","C",0.1,15,"BLR","Low","Moderate",50,16,"99"
"Power","F2.ON","C",0.1,16,"BLR","Low","Moderate",100,6,"0.04"
"Power","F2.ON","C",0.1,17,"BLR","Low","Moderate",100,10,"0.03"
"Power","F2.ON","C",0.1,18,"BLR","Low","Moderate",100,16,"0.04"
"Power","F2.ON","C",0.1,19,"BLR","Low","Moderate",300,6,"0.05"
"Power","F2.ON","C",0.1,20,"BLR","Low","Moderate",300,10,"0.06"
"Power","F2.ON","C",0.1,21,"BLR","Low","Moderate",300,16,"0.11"
"Power","F2.ON","C",0.1,22,"BLR","Low","Moderate",3000,6,"0.44"
"Power","F2.ON","C",0.1,23,"BLR","Low","Moderate",3000,10,"0.47"
"Power","F2.ON","C",0.1,24,"BLR","Low","Moderate",3000,16,"0.47"
"Power","F2.ON","C",0.1,25,"BLR","Low","Strong",50,6,"99"
"Power","F2.ON","C",0.1,26,"BLR","Low","Strong",50,10,"99"
"Power","F2.ON","C",0.1,27,"BLR","Low","Strong",50,16,"99"
"Power","F2.ON","C",0.1,28,"BLR","Low","Strong",100,6,"0.00"
"Power","F2.ON","C",0.1,29,"BLR","Low","Strong",100,10,"0.00"
"Power","F2.ON","C",0.1,30,"BLR","Low","Strong",100,16,"0.08"
"Power","F2.ON","C",0.1,31,"BLR","Low","Strong",300,6,"0.02"
"Power","F2.ON","C",0.1,32,"BLR","Low","Strong",300,10,"0.06"
"Power","F2.ON","C",0.1,33,"BLR","Low","Strong",300,16,"0.09"
"Power","F2.ON","C",0.1,34,"BLR","Low","Strong",3000,6,"0.40"
"Power","F2.ON","C",0.1,35,"BLR","Low","Strong",3000,10,"0.45"
"Power","F2.ON","C",0.1,36,"BLR","Low","Strong",3000,16,"0.53"
"Power","F2.ON","C",0.1,37,"BLR","Wide","Independence",50,6,"99"
"Power","F2.ON","C",0.1,38,"BLR","Wide","Independence",50,10,"99"
"Power","F2.ON","C",0.1,39,"BLR","Wide","Independence",50,16,"99"
"Power","F2.ON","C",0.1,40,"BLR","Wide","Independence",100,6,"0.00"
"Power","F2.ON","C",0.1,41,"BLR","Wide","Independence",100,10,"0.00"
"Power","F2.ON","C",0.1,42,"BLR","Wide","Independence",100,16,"0.00"
"Power","F2.ON","C",0.1,43,"BLR","Wide","Independence",300,6,"0.03"
"Power","F2.ON","C",0.1,44,"BLR","Wide","Independence",300,10,"0.05"
"Power","F2.ON","C",0.1,45,"BLR","Wide","Independence",300,16,"0.05"
"Power","F2.ON","C",0.1,46,"BLR","Wide","Independence",3000,6,"0.40"
"Power","F2.ON","C",0.1,47,"BLR","Wide","Independence",3000,10,"0.47"
"Power","F2.ON","C",0.1,48,"BLR","Wide","Independence",3000,16,"0.59"
"Power","F2.ON","C",0.1,49,"BLR","Wide","Moderate",50,6,"99"
"Power","F2.ON","C",0.1,50,"BLR","Wide","Moderate",50,10,"99"
"Power","F2.ON","C",0.1,51,"BLR","Wide","Moderate",50,16,"99"
"Power","F2.ON","C",0.1,52,"BLR","Wide","Moderate",100,6,"0.00"
"Power","F2.ON","C",0.1,53,"BLR","Wide","Moderate",100,10,"0.00"
"Power","F2.ON","C",0.1,54,"BLR","Wide","Moderate",100,16,"0.00"
"Power","F2.ON","C",0.1,55,"BLR","Wide","Moderate",300,6,"0.07"
"Power","F2.ON","C",0.1,56,"BLR","Wide","Moderate",300,10,"0.04"
"Power","F2.ON","C",0.1,57,"BLR","Wide","Moderate",300,16,"0.06"
"Power","F2.ON","C",0.1,58,"BLR","Wide","Moderate",3000,6,"0.47"
"Power","F2.ON","C",0.1,59,"BLR","Wide","Moderate",3000,10,"0.42"
"Power","F2.ON","C",0.1,60,"BLR","Wide","Moderate",3000,16,"0.56"
"Power","F2.ON","C",0.1,61,"BLR","Wide","Strong",50,6,"0.00"
"Power","F2.ON","C",0.1,62,"BLR","Wide","Strong",50,10,"99"
"Power","F2.ON","C",0.1,63,"BLR","Wide","Strong",50,16,"99"
"Power","F2.ON","C",0.1,64,"BLR","Wide","Strong",100,6,"0.00"
"Power","F2.ON","C",0.1,65,"BLR","Wide","Strong",100,10,"0.06"
"Power","F2.ON","C",0.1,66,"BLR","Wide","Strong",100,16,"0.00"
"Power","F2.ON","C",0.1,67,"BLR","Wide","Strong",300,6,"0.08"
"Power","F2.ON","C",0.1,68,"BLR","Wide","Strong",300,10,"0.07"
"Power","F2.ON","C",0.1,69,"BLR","Wide","Strong",300,16,"0.08"
"Power","F2.ON","C",0.1,70,"BLR","Wide","Strong",3000,6,"0.39"
"Power","F2.ON","C",0.1,71,"BLR","Wide","Strong",3000,10,"0.52"
"Power","F2.ON","C",0.1,72,"BLR","Wide","Strong",3000,16,"0.50"
"Power","F2.ON","C",0.1,73,"BLR","High","Independence",50,6,"99"
"Power","F2.ON","C",0.1,74,"BLR","High","Independence",50,10,"0.00"
"Power","F2.ON","C",0.1,75,"BLR","High","Independence",50,16,"0.00"
"Power","F2.ON","C",0.1,76,"BLR","High","Independence",100,6,"0.00"
"Power","F2.ON","C",0.1,77,"BLR","High","Independence",100,10,"0.00"
"Power","F2.ON","C",0.1,78,"BLR","High","Independence",100,16,"0.08"
"Power","F2.ON","C",0.1,79,"BLR","High","Independence",300,6,"0.12"
"Power","F2.ON","C",0.1,80,"BLR","High","Independence",300,10,"0.03"
"Power","F2.ON","C",0.1,81,"BLR","High","Independence",300,16,"0.17"
"Power","F2.ON","C",0.1,82,"BLR","High","Independence",3000,6,"0.40"
"Power","F2.ON","C",0.1,83,"BLR","High","Independence",3000,10,"0.52"
"Power","F2.ON","C",0.1,84,"BLR","High","Independence",3000,16,"0.43"
"Power","F2.ON","C",0.1,85,"BLR","High","Moderate",50,6,"0.00"
"Power","F2.ON","C",0.1,86,"BLR","High","Moderate",50,10,"0.00"
"Power","F2.ON","C",0.1,87,"BLR","High","Moderate",50,16,"0.00"
"Power","F2.ON","C",0.1,88,"BLR","High","Moderate",100,6,"0.00"
"Power","F2.ON","C",0.1,89,"BLR","High","Moderate",100,10,"0.00"
"Power","F2.ON","C",0.1,90,"BLR","High","Moderate",100,16,"0.00"
"Power","F2.ON","C",0.1,91,"BLR","High","Moderate",300,6,"0.22"
"Power","F2.ON","C",0.1,92,"BLR","High","Moderate",300,10,"0.06"
"Power","F2.ON","C",0.1,93,"BLR","High","Moderate",300,16,"0.08"
"Power","F2.ON","C",0.1,94,"BLR","High","Moderate",3000,6,"0.50"
"Power","F2.ON","C",0.1,95,"BLR","High","Moderate",3000,10,"0.49"
"Power","F2.ON","C",0.1,96,"BLR","High","Moderate",3000,16,"0.50"
"Power","F2.ON","C",0.1,97,"BLR","High","Strong",50,6,"99"
"Power","F2.ON","C",0.1,98,"BLR","High","Strong",50,10,"0.00"
"Power","F2.ON","C",0.1,99,"BLR","High","Strong",50,16,"99"
"Power","F2.ON","C",0.1,100,"BLR","High","Strong",100,6,"0.00"
"Power","F2.ON","C",0.1,101,"BLR","High","Strong",100,10,"0.00"
"Power","F2.ON","C",0.1,102,"BLR","High","Strong",100,16,"0.00"
"Power","F2.ON","C",0.1,103,"BLR","High","Strong",300,6,"0.00"
"Power","F2.ON","C",0.1,104,"BLR","High","Strong",300,10,"0.00"
"Power","F2.ON","C",0.1,105,"BLR","High","Strong",300,16,"0.11"
"Power","F2.ON","C",0.1,106,"BLR","High","Strong",3000,6,"0.54"
"Power","F2.ON","C",0.1,107,"BLR","High","Strong",3000,10,"0.53"
"Power","F2.ON","C",0.1,108,"BLR","High","Strong",3000,16,"0.38"
"Power","F2.ON","C",0.1,109,"BMR","Low","Independence",50,6,"0.00"
"Power","F2.ON","C",0.1,110,"BMR","Low","Independence",50,10,"0.03"
"Power","F2.ON","C",0.1,111,"BMR","Low","Independence",50,16,"0.05"
"Power","F2.ON","C",0.1,112,"BMR","Low","Independence",100,6,"0.07"
"Power","F2.ON","C",0.1,113,"BMR","Low","Independence",100,10,"0.06"
"Power","F2.ON","C",0.1,114,"BMR","Low","Independence",100,16,"0.10"
"Power","F2.ON","C",0.1,115,"BMR","Low","Independence",300,6,"0.05"
"Power","F2.ON","C",0.1,116,"BMR","Low","Independence",300,10,"0.14"
"Power","F2.ON","C",0.1,117,"BMR","Low","Independence",300,16,"0.13"
"Power","F2.ON","C",0.1,118,"BMR","Low","Independence",3000,6,"0.60"
"Power","F2.ON","C",0.1,119,"BMR","Low","Independence",3000,10,"0.65"
"Power","F2.ON","C",0.1,120,"BMR","Low","Independence",3000,16,"0.83"
"Power","F2.ON","C",0.1,121,"BMR","Low","Moderate",50,6,"0.06"
"Power","F2.ON","C",0.1,122,"BMR","Low","Moderate",50,10,"0.00"
"Power","F2.ON","C",0.1,123,"BMR","Low","Moderate",50,16,"0.01"
"Power","F2.ON","C",0.1,124,"BMR","Low","Moderate",100,6,"0.05"
"Power","F2.ON","C",0.1,125,"BMR","Low","Moderate",100,10,"0.08"
"Power","F2.ON","C",0.1,126,"BMR","Low","Moderate",100,16,"0.05"
"Power","F2.ON","C",0.1,127,"BMR","Low","Moderate",300,6,"0.09"
"Power","F2.ON","C",0.1,128,"BMR","Low","Moderate",300,10,"0.11"
"Power","F2.ON","C",0.1,129,"BMR","Low","Moderate",300,16,"0.14"
"Power","F2.ON","C",0.1,130,"BMR","Low","Moderate",3000,6,"0.66"
"Power","F2.ON","C",0.1,131,"BMR","Low","Moderate",3000,10,"0.66"
"Power","F2.ON","C",0.1,132,"BMR","Low","Moderate",3000,16,"0.68"
"Power","F2.ON","C",0.1,133,"BMR","Low","Strong",50,6,"0.03"
"Power","F2.ON","C",0.1,134,"BMR","Low","Strong",50,10,"0.07"
"Power","F2.ON","C",0.1,135,"BMR","Low","Strong",50,16,"0.03"
