"seed";"a";"b";"c";"d";"rho1";"rho2";"err1";"err2";"flipped"
30279;100;10;0;1;0.879;0.87;FALSE;FALSE;"NOT-flipped"
30329;100;10;0;1;0.915;0.86;FALSE;FALSE;"flipped"
30476;100;10;0;1;0.813;0.882;FALSE;FALSE;"NOT-flipped"
30505;100;10;0;1;0.903;0.903;FALSE;FALSE;"NOT-flipped"
30764;100;10;0;1;0.859;0.877;FALSE;FALSE;"NOT-flipped"
31017;100;10;0;1;0.917;0.865;FALSE;FALSE;"flipped"
31060;100;10;0;1;0.878;0.865;FALSE;FALSE;"NOT-flipped"
31146;100;10;0;1;0.905;0.865;FALSE;FALSE;"NOT-flipped"
31453;100;10;0;1;0.898;0.857;FALSE;FALSE;"flipped"
31672;100;10;0;1;0.77;0.808;FALSE;FALSE;"flipped"
31696;100;10;0;1;0.93;0.897;FALSE;FALSE;"NOT-flipped"
31749;100;10;0;1;0.872;0.865;FALSE;FALSE;"NOT-flipped"
31910;100;10;0;1;0.817;0.908;FALSE;FALSE;"flipped"
32017;100;10;0;1;0.907;0.814;FALSE;FALSE;"NOT-flipped"
32060;100;10;0;1;0.857;0.861;FALSE;FALSE;"NOT-flipped"
32478;100;10;0;1;0.886;0.909;FALSE;FALSE;"NOT-flipped"
33064;100;10;0;1;0.873;0.893;FALSE;FALSE;"NOT-flipped"
33343;100;10;0;1;0.866;0.817;FALSE;FALSE;"flipped"
33386;100;10;0;1;0.89;0.892;FALSE;FALSE;"NOT-flipped"
33626;100;10;0;1;0.888;0.871;FALSE;FALSE;"NOT-flipped"
34460;100;10;0;1;0.771;0.866;FALSE;FALSE;"NOT-flipped"
34556;100;10;0;1;0.882;0.857;FALSE;FALSE;"NOT-flipped"
34577;100;10;0;1;0.906;0.831;FALSE;FALSE;"NOT-flipped"
34677;100;10;0;1;0.867;0.93;FALSE;FALSE;"NOT-flipped"
34696;100;10;0;1;0.898;0.885;FALSE;FALSE;"NOT-flipped"
34906;100;10;0;1;0.856;0.872;FALSE;FALSE;"NOT-flipped"
35569;100;10;0;1;0.906;0.918;FALSE;FALSE;"flipped"
35585;100;10;0;1;0.844;0.888;FALSE;FALSE;"NOT-flipped"
35647;100;10;0;1;0.888;0.867;FALSE;FALSE;"NOT-flipped"
35690;100;10;0;1;0.899;0.93;FALSE;FALSE;"NOT-flipped"
35797;100;10;0;1;0.855;0.913;FALSE;FALSE;"NOT-flipped"
35889;100;10;0;1;0.887;0.854;FALSE;FALSE;"NOT-flipped"
35991;100;10;0;1;0.914;0.915;FALSE;FALSE;"flipped"
36011;100;10;0;1;0.896;0.889;FALSE;FALSE;"NOT-flipped"
36543;100;10;0;1;0.849;0.916;FALSE;FALSE;"NOT-flipped"
36865;100;10;0;1;0.846;0.884;FALSE;FALSE;"NOT-flipped"
36945;100;10;0;1;0.887;0.88;FALSE;FALSE;"NOT-flipped"
36978;100;10;0;1;0.882;0.881;FALSE;FALSE;"NOT-flipped"
37134;100;10;0;1;0.87;0.881;FALSE;FALSE;"NOT-flipped"
