"seed";"a";"b";"c";"d";"rho1_CFAMIMIC";"rho2_CFAMIMIC"
30279;100;10;0;1;-0.984;0.983
30329;100;10;0;1;0.993;-0.984
30476;100;10;0;1;0.965;0.971
30505;100;10;0;1;0.988;0.99
30764;100;10;0;1;0.983;0.988
31017;100;10;0;1;0.973;-0.964
31060;100;10;0;1;0.992;0.988
31146;100;10;0;1;0.997;0.991
31453;100;10;0;1;-0.99;0.983
31672;100;10;0;1;0.953;-0.979
31696;100;10;0;1;0.994;0.991
31749;100;10;0;1;-0.984;0.994
31910;100;10;0;1;0.987;-0.989
32017;100;10;0;1;0.992;0.99
32060;100;10;0;1;0.983;0.988
32478;100;10;0;1;0.99;0.99
33064;100;10;0;1;0.976;0.98
33343;100;10;0;1;0.974;-0.968
33386;100;10;0;1;0.986;0.993
33626;100;10;0;1;0.988;0.985
34460;100;10;0;1;-0.95;0.981
34556;100;10;0;1;0.986;0.973
34577;100;10;0;1;0.995;0.989
34677;100;10;0;1;0.975;0.997
34696;100;10;0;1;0.989;0.984
34906;100;10;0;1;0.959;0.97
35569;100;10;0;1;0.995;-0.996
35585;100;10;0;1;0.989;0.991
35647;100;10;0;1;-0.975;0.992
35690;100;10;0;1;0.991;0.987
35797;100;10;0;1;0.979;0.989
35889;100;10;0;1;0.972;0.969
35991;100;10;0;1;0.977;-0.993
36011;100;10;0;1;0.992;0.989
36543;100;10;0;1;0.991;0.98
36865;100;10;0;1;0.98;-0.994
36945;100;10;0;1;0.993;-0.988
36978;100;10;0;1;0.977;0.988
37134;100;10;0;1;0.99;-0.981
37434;100;10;0;1;0.973;0.995
38571;100;10;0;1;0.988;-0.988
38602;100;10;0;1;0.985;0.99
38942;100;10;0;1;0.982;0.949
38950;100;10;0;1;-0.99;0.985
39671;100;10;0;1;0.995;0.979
39726;100;10;0;1;0.99;0.986
39727;100;10;0;1;0.984;0.994
39756;100;10;0;1;0.995;0.983
39800;100;10;0;1;0.988;-0.968
39985;100;10;0;1;0.99;-0.998
40149;100;10;0;1;0.969;0.993
40580;100;10;0;1;-0.988;0.994
40691;100;10;0;1;0.974;0.984
40862;100;10;0;1;0.996;0.991
40884;100;10;0;1;0.994;0.993
40922;100;10;0;1;0.985;0.972
40960;100;10;0;1;-0.984;0.989
41113;100;10;0;1;0.994;0.998
41762;100;10;0;1;0.986;0.994
42095;100;10;0;1;0.991;0.981
42332;100;10;0;1;0.988;0.976
42362;100;10;0;1;0.958;0.995
42551;100;10;0;1;0.983;0.99
42621;100;10;0;1;0.993;0.99
42801;100;10;0;1;0.981;0.99
43045;100;10;0;1;0.982;0.986
43199;100;10;0;1;0.979;0.974
43246;100;10;0;1;0.989;0.96
43374;100;10;0;1;0.993;0.972
43480;100;10;0;1;0.973;-0.989
43650;100;10;0;1;-0.991;0.988
44868;100;10;0;1;0.992;0.994
45644;100;10;0;1;0.988;-0.995
46029;100;10;0;1;0.987;0.991
46246;100;10;0;1;0.98;0.986
46264;100;10;0;1;-0.976;0.963
46440;100;10;0;1;0.992;0.984
46531;100;10;0;1;0.989;0.985
46566;100;10;0;1;0.979;-0.982
46633;100;10;0;1;0.977;0.993
46801;100;10;0;1;0.974;0.978
46849;100;10;0;1;0.99;0.997
46998;100;10;0;1;0.99;0.973
47063;100;10;0;1;0.969;0.989
47358;100;10;0;1;0.992;-0.986
47413;100;10;0;1;0.986;0.984
47415;100;10;0;1;0.984;0.99
47709;100;10;0;1;0.981;0.983
47917;100;10;0;1;0.973;0.996
48003;100;10;0;1;-0.986;0.99
48281;100;10;0;1;-0.989;-0.992
48334;100;10;0;1;0.997;0.986
48492;100;10;0;1;-0.992;-0.993
48498;100;10;0;1;0.992;0.994
48715;100;10;0;1;0.995;0.98
48937;100;10;0;1;0.987;0.979
49042;100;10;0;1;0.978;0.995
49216;100;10;0;1;-0.982;0.968
49542;100;10;0;1;0.982;-0.992
49875;100;10;0;1;-0.98;0.98
30279;100;10;0;2;0.997;0.997
30329;100;10;0;2;0.997;0.996
30476;100;10;0;2;0.996;1
30505;100;10;0;2;0.991;0.995
30764;100;10;0;2;0.997;0.997
31017;100;10;0;2;0.998;0.996
31060;100;10;0;2;0.996;-0.998
31146;100;10;0;2;-0.996;0.999
31453;100;10;0;2;0.997;-0.993
31672;100;10;0;2;0.994;0.996
31696;100;10;0;2;0.989;0.998
31749;100;10;0;2;0.997;0.999
31910;100;10;0;2;0.997;-0.996
32017;100;10;0;2;0.997;0.999
32060;100;10;0;2;0.998;0.996
32478;100;10;0;2;0.996;0.996
33064;100;10;0;2;0.993;0.992
33343;100;10;0;2;0.995;-0.997
33386;100;10;0;2;0.996;0.992
33626;100;10;0;2;0.997;0.996
34460;100;10;0;2;0.997;0.998
34556;100;10;0;2;0.999;0.993
34577;100;10;0;2;0.989;-0.996
34677;100;10;0;2;0.991;0.998
34696;100;10;0;2;0.998;0.994
34906;100;10;0;2;0.996;0.994
35569;100;10;0;2;0.99;0.997
35585;100;10;0;2;0.991;-0.996
35647;100;10;0;2;0.995;0.996
35690;100;10;0;2;0.997;0.998
35797;100;10;0;2;0.994;0.988
35889;100;10;0;2;0.981;0.994
35991;100;10;0;2;0.997;-0.993
36011;100;10;0;2;0.998;0.998
36543;100;10;0;2;-0.995;0.996
36865;100;10;0;2;-0.993;0.985
36945;100;10;0;2;0.995;0.998
36978;100;10;0;2;0.997;0.997
37134;100;10;0;2;0.991;0.997
37434;100;10;0;2;0.996;0.995
38571;100;10;0;2;0.995;0.999
38602;100;10;0;2;0.999;0.998
38942;100;10;0;2;0.998;0.989
38950;100;10;0;2;-0.994;0.991
39671;100;10;0;2;0.991;0.99
39726;100;10;0;2;0.997;0.984
39727;100;10;0;2;-0.998;0.996
39756;100;10;0;2;-0.996;0.993
39800;100;10;0;2;0.995;0.994
39985;100;10;0;2;0.998;-0.998
40149;100;10;0;2;0.998;0.991
40580;100;10;0;2;0.993;0.997
40691;100;10;0;2;0.996;0.999
40862;100;10;0;2;0.984;0.992
40884;100;10;0;2;0.996;-0.997
40922;100;10;0;2;-0.998;-0.998
40960;100;10;0;2;0.993;0.994
41113;100;10;0;2;0.986;-0.994
41762;100;10;0;2;0.997;-0.998
42095;100;10;0;2;-0.987;0.997
42332;100;10;0;2;0.99;0.993
42362;100;10;0;2;0.993;-0.996
42551;100;10;0;2;0.993;0.993
42621;100;10;0;2;0.992;0.993
42801;100;10;0;2;0.998;0.998
43045;100;10;0;2;0.998;0.997
43199;100;10;0;2;0.994;0.997
43246;100;10;0;2;0.997;0.997
43374;100;10;0;2;0.994;0.994
43480;100;10;0;2;0.996;0.993
43650;100;10;0;2;0.996;0.996
44868;100;10;0;2;-0.997;0.996
45644;100;10;0;2;-0.998;-0.987
46029;100;10;0;2;0.996;0.995
46246;100;10;0;2;0.998;0.996
46264;100;10;0;2;0.999;0.993
46440;100;10;0;2;0.997;0.998
46531;100;10;0;2;-0.998;-0.998
46566;100;10;0;2;0.995;0.995
46633;100;10;0;2;0.992;0.996
46801;100;10;0;2;-0.997;0.995
46849;100;10;0;2;0.996;0.995
46998;100;10;0;2;-0.997;0.991
47063;100;10;0;2;0.996;0.998
47358;100;10;0;2;0.995;0.998
47413;100;10;0;2;0.998;0.993
47415;100;10;0;2;0.995;0.999
47709;100;10;0;2;0.996;-0.996
47917;100;10;0;2;0.996;0.991
48003;100;10;0;2;0.998;0.995
48281;100;10;0;2;0.996;0.996
48334;100;10;0;2;0.998;0.996
48492;100;10;0;2;0.994;0.986
48498;100;10;0;2;0.996;-0.997
48715;100;10;0;2;0.996;0.999
