"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F1.ON","E",-0.3,1,"BLR","Low","Independence",50,6,"99"
"Power","F1.ON","E",-0.3,2,"BLR","Low","Independence",50,10,"99"
"Power","F1.ON","E",-0.3,3,"BLR","Low","Independence",50,16,"99"
"Power","F1.ON","E",-0.3,4,"BLR","Low","Independence",100,6,"0.12"
"Power","F1.ON","E",-0.3,5,"BLR","Low","Independence",100,10,"0.06"
"Power","F1.ON","E",-0.3,6,"BLR","Low","Independence",100,16,"0.03"
"Power","F1.ON","E",-0.3,7,"BLR","Low","Independence",300,6,"0.27"
"Power","F1.ON","E",-0.3,8,"BLR","Low","Independence",300,10,"0.31"
"Power","F1.ON","E",-0.3,9,"BLR","Low","Independence",300,16,"0.43"
"Power","F1.ON","E",-0.3,10,"BLR","Low","Independence",3000,6,"0.99"
"Power","F1.ON","E",-0.3,11,"BLR","Low","Independence",3000,10,"1.00"
"Power","F1.ON","E",-0.3,12,"BLR","Low","Independence",3000,16,"1.00"
"Power","F1.ON","E",-0.3,13,"BLR","Low","Moderate",50,6,"99"
"Power","F1.ON","E",-0.3,14,"BLR","Low","Moderate",50,10,"99"
"Power","F1.ON","E",-0.3,15,"BLR","Low","Moderate",50,16,"99"
"Power","F1.ON","E",-0.3,16,"BLR","Low","Moderate",100,6,"0.00"
"Power","F1.ON","E",-0.3,17,"BLR","Low","Moderate",100,10,"0.00"
"Power","F1.ON","E",-0.3,18,"BLR","Low","Moderate",100,16,"0.00"
"Power","F1.ON","E",-0.3,19,"BLR","Low","Moderate",300,6,"0.29"
"Power","F1.ON","E",-0.3,20,"BLR","Low","Moderate",300,10,"0.34"
"Power","F1.ON","E",-0.3,21,"BLR","Low","Moderate",300,16,"0.56"
"Power","F1.ON","E",-0.3,22,"BLR","Low","Moderate",3000,6,"1.00"
"Power","F1.ON","E",-0.3,23,"BLR","Low","Moderate",3000,10,"1.00"
"Power","F1.ON","E",-0.3,24,"BLR","Low","Moderate",3000,16,"1.00"
"Power","F1.ON","E",-0.3,25,"BLR","Low","Strong",50,6,"99"
"Power","F1.ON","E",-0.3,26,"BLR","Low","Strong",50,10,"99"
"Power","F1.ON","E",-0.3,27,"BLR","Low","Strong",50,16,"99"
"Power","F1.ON","E",-0.3,28,"BLR","Low","Strong",100,6,"0.09"
"Power","F1.ON","E",-0.3,29,"BLR","Low","Strong",100,10,"0.03"
"Power","F1.ON","E",-0.3,30,"BLR","Low","Strong",100,16,"0.03"
"Power","F1.ON","E",-0.3,31,"BLR","Low","Strong",300,6,"0.22"
"Power","F1.ON","E",-0.3,32,"BLR","Low","Strong",300,10,"0.35"
"Power","F1.ON","E",-0.3,33,"BLR","Low","Strong",300,16,"0.42"
"Power","F1.ON","E",-0.3,34,"BLR","Low","Strong",3000,6,"1.00"
"Power","F1.ON","E",-0.3,35,"BLR","Low","Strong",3000,10,"1.00"
"Power","F1.ON","E",-0.3,36,"BLR","Low","Strong",3000,16,"1.00"
"Power","F1.ON","E",-0.3,37,"BLR","Wide","Independence",50,6,"99"
"Power","F1.ON","E",-0.3,38,"BLR","Wide","Independence",50,10,"99"
"Power","F1.ON","E",-0.3,39,"BLR","Wide","Independence",50,16,"99"
"Power","F1.ON","E",-0.3,40,"BLR","Wide","Independence",100,6,"0.00"
"Power","F1.ON","E",-0.3,41,"BLR","Wide","Independence",100,10,"0.00"
"Power","F1.ON","E",-0.3,42,"BLR","Wide","Independence",100,16,"0.00"
"Power","F1.ON","E",-0.3,43,"BLR","Wide","Independence",300,6,"0.21"
"Power","F1.ON","E",-0.3,44,"BLR","Wide","Independence",300,10,"0.34"
"Power","F1.ON","E",-0.3,45,"BLR","Wide","Independence",300,16,"0.43"
"Power","F1.ON","E",-0.3,46,"BLR","Wide","Independence",3000,6,"1.00"
"Power","F1.ON","E",-0.3,47,"BLR","Wide","Independence",3000,10,"1.00"
"Power","F1.ON","E",-0.3,48,"BLR","Wide","Independence",3000,16,"1.00"
"Power","F1.ON","E",-0.3,49,"BLR","Wide","Moderate",50,6,"99"
"Power","F1.ON","E",-0.3,50,"BLR","Wide","Moderate",50,10,"99"
"Power","F1.ON","E",-0.3,51,"BLR","Wide","Moderate",50,16,"99"
"Power","F1.ON","E",-0.3,52,"BLR","Wide","Moderate",100,6,"0.07"
"Power","F1.ON","E",-0.3,53,"BLR","Wide","Moderate",100,10,"0.00"
"Power","F1.ON","E",-0.3,54,"BLR","Wide","Moderate",100,16,"0.00"
"Power","F1.ON","E",-0.3,55,"BLR","Wide","Moderate",300,6,"0.17"
"Power","F1.ON","E",-0.3,56,"BLR","Wide","Moderate",300,10,"0.41"
"Power","F1.ON","E",-0.3,57,"BLR","Wide","Moderate",300,16,"0.38"
"Power","F1.ON","E",-0.3,58,"BLR","Wide","Moderate",3000,6,"1.00"
"Power","F1.ON","E",-0.3,59,"BLR","Wide","Moderate",3000,10,"1.00"
"Power","F1.ON","E",-0.3,60,"BLR","Wide","Moderate",3000,16,"1.00"
"Power","F1.ON","E",-0.3,61,"BLR","Wide","Strong",50,6,"0.00"
"Power","F1.ON","E",-0.3,62,"BLR","Wide","Strong",50,10,"99"
"Power","F1.ON","E",-0.3,63,"BLR","Wide","Strong",50,16,"99"
"Power","F1.ON","E",-0.3,64,"BLR","Wide","Strong",100,6,"0.05"
"Power","F1.ON","E",-0.3,65,"BLR","Wide","Strong",100,10,"0.06"
"Power","F1.ON","E",-0.3,66,"BLR","Wide","Strong",100,16,"0.08"
"Power","F1.ON","E",-0.3,67,"BLR","Wide","Strong",300,6,"0.30"
"Power","F1.ON","E",-0.3,68,"BLR","Wide","Strong",300,10,"0.38"
"Power","F1.ON","E",-0.3,69,"BLR","Wide","Strong",300,16,"0.42"
"Power","F1.ON","E",-0.3,70,"BLR","Wide","Strong",3000,6,"1.00"
"Power","F1.ON","E",-0.3,71,"BLR","Wide","Strong",3000,10,"1.00"
"Power","F1.ON","E",-0.3,72,"BLR","Wide","Strong",3000,16,"1.00"
"Power","F1.ON","E",-0.3,73,"BLR","High","Independence",50,6,"99"
"Power","F1.ON","E",-0.3,74,"BLR","High","Independence",50,10,"0.00"
"Power","F1.ON","E",-0.3,75,"BLR","High","Independence",50,16,"0.00"
"Power","F1.ON","E",-0.3,76,"BLR","High","Independence",100,6,"0.00"
"Power","F1.ON","E",-0.3,77,"BLR","High","Independence",100,10,"0.00"
"Power","F1.ON","E",-0.3,78,"BLR","High","Independence",100,16,"0.00"
"Power","F1.ON","E",-0.3,79,"BLR","High","Independence",300,6,"0.06"
"Power","F1.ON","E",-0.3,80,"BLR","High","Independence",300,10,"0.47"
"Power","F1.ON","E",-0.3,81,"BLR","High","Independence",300,16,"0.52"
"Power","F1.ON","E",-0.3,82,"BLR","High","Independence",3000,6,"1.00"
"Power","F1.ON","E",-0.3,83,"BLR","High","Independence",3000,10,"1.00"
"Power","F1.ON","E",-0.3,84,"BLR","High","Independence",3000,16,"1.00"
"Power","F1.ON","E",-0.3,85,"BLR","High","Moderate",50,6,"0.00"
"Power","F1.ON","E",-0.3,86,"BLR","High","Moderate",50,10,"0.00"
"Power","F1.ON","E",-0.3,87,"BLR","High","Moderate",50,16,"0.00"
"Power","F1.ON","E",-0.3,88,"BLR","High","Moderate",100,6,"0.00"
"Power","F1.ON","E",-0.3,89,"BLR","High","Moderate",100,10,"0.00"
"Power","F1.ON","E",-0.3,90,"BLR","High","Moderate",100,16,"0.00"
"Power","F1.ON","E",-0.3,91,"BLR","High","Moderate",300,6,"0.44"
"Power","F1.ON","E",-0.3,92,"BLR","High","Moderate",300,10,"0.53"
"Power","F1.ON","E",-0.3,93,"BLR","High","Moderate",300,16,"0.38"
"Power","F1.ON","E",-0.3,94,"BLR","High","Moderate",3000,6,"1.00"
"Power","F1.ON","E",-0.3,95,"BLR","High","Moderate",3000,10,"1.00"
"Power","F1.ON","E",-0.3,96,"BLR","High","Moderate",3000,16,"1.00"
"Power","F1.ON","E",-0.3,97,"BLR","High","Strong",50,6,"99"
"Power","F1.ON","E",-0.3,98,"BLR","High","Strong",50,10,"0.00"
"Power","F1.ON","E",-0.3,99,"BLR","High","Strong",50,16,"99"
"Power","F1.ON","E",-0.3,100,"BLR","High","Strong",100,6,"0.25"
"Power","F1.ON","E",-0.3,101,"BLR","High","Strong",100,10,"0.00"
"Power","F1.ON","E",-0.3,102,"BLR","High","Strong",100,16,"0.00"
"Power","F1.ON","E",-0.3,103,"BLR","High","Strong",300,6,"0.20"
"Power","F1.ON","E",-0.3,104,"BLR","High","Strong",300,10,"0.40"
"Power","F1.ON","E",-0.3,105,"BLR","High","Strong",300,16,"0.26"
"Power","F1.ON","E",-0.3,106,"BLR","High","Strong",3000,6,"1.00"
"Power","F1.ON","E",-0.3,107,"BLR","High","Strong",3000,10,"1.00"
"Power","F1.ON","E",-0.3,108,"BLR","High","Strong",3000,16,"1.00"
"Power","F1.ON","E",-0.3,109,"BMR","Low","Independence",50,6,"0.10"
"Power","F1.ON","E",-0.3,110,"BMR","Low","Independence",50,10,"0.08"
"Power","F1.ON","E",-0.3,111,"BMR","Low","Independence",50,16,"0.11"
"Power","F1.ON","E",-0.3,112,"BMR","Low","Independence",100,6,"0.11"
"Power","F1.ON","E",-0.3,113,"BMR","Low","Independence",100,10,"0.23"
"Power","F1.ON","E",-0.3,114,"BMR","Low","Independence",100,16,"0.31"
"Power","F1.ON","E",-0.3,115,"BMR","Low","Independence",300,6,"0.53"
"Power","F1.ON","E",-0.3,116,"BMR","Low","Independence",300,10,"0.64"
"Power","F1.ON","E",-0.3,117,"BMR","Low","Independence",300,16,"0.69"
"Power","F1.ON","E",-0.3,118,"BMR","Low","Independence",3000,6,"1.00"
"Power","F1.ON","E",-0.3,119,"BMR","Low","Independence",3000,10,"1.00"
"Power","F1.ON","E",-0.3,120,"BMR","Low","Independence",3000,16,"1.00"
"Power","F1.ON","E",-0.3,121,"BMR","Low","Moderate",50,6,"0.06"
"Power","F1.ON","E",-0.3,122,"BMR","Low","Moderate",50,10,"0.13"
"Power","F1.ON","E",-0.3,123,"BMR","Low","Moderate",50,16,"0.07"
"Power","F1.ON","E",-0.3,124,"BMR","Low","Moderate",100,6,"0.21"
"Power","F1.ON","E",-0.3,125,"BMR","Low","Moderate",100,10,"0.29"
"Power","F1.ON","E",-0.3,126,"BMR","Low","Moderate",100,16,"0.23"
"Power","F1.ON","E",-0.3,127,"BMR","Low","Moderate",300,6,"0.52"
"Power","F1.ON","E",-0.3,128,"BMR","Low","Moderate",300,10,"0.65"
"Power","F1.ON","E",-0.3,129,"BMR","Low","Moderate",300,16,"0.71"
"Power","F1.ON","E",-0.3,130,"BMR","Low","Moderate",3000,6,"1.00"
"Power","F1.ON","E",-0.3,131,"BMR","Low","Moderate",3000,10,"1.00"
"Power","F1.ON","E",-0.3,132,"BMR","Low","Moderate",3000,16,"1.00"
"Power","F1.ON","E",-0.3,133,"BMR","Low","Strong",50,6,"0.06"
"Power","F1.ON","E",-0.3,134,"BMR","Low","Strong",50,10,"0.11"
"Power","F1.ON","E",-0.3,135,"BMR","Low","Strong",50,16,"0.12"
"Power","F1.ON","E",-0.3,136,"BMR","Low","Strong",100,6,"0.16"
