"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F2.ON","N",0.95,1,"BLR","Low","Independence",50,6,"99"
"Power","F2.ON","N",0.95,2,"BLR","Low","Independence",50,10,"99"
"Power","F2.ON","N",0.95,3,"BLR","Low","Independence",50,16,"99"
"Power","F2.ON","N",0.95,4,"BLR","Low","Independence",100,6,"0.38"
"Power","F2.ON","N",0.95,5,"BLR","Low","Independence",100,10,"0.43"
"Power","F2.ON","N",0.95,6,"BLR","Low","Independence",100,16,"0.62"
"Power","F2.ON","N",0.95,7,"BLR","Low","Independence",300,6,"0.97"
"Power","F2.ON","N",0.95,8,"BLR","Low","Independence",300,10,"1.00"
"Power","F2.ON","N",0.95,9,"BLR","Low","Independence",300,16,"1.00"
"Power","F2.ON","N",0.95,10,"BLR","Low","Independence",3000,6,"1.00"
"Power","F2.ON","N",0.95,11,"BLR","Low","Independence",3000,10,"1.00"
"Power","F2.ON","N",0.95,12,"BLR","Low","Independence",3000,16,"1.00"
"Power","F2.ON","N",0.95,13,"BLR","Low","Moderate",50,6,"99"
"Power","F2.ON","N",0.95,14,"BLR","Low","Moderate",50,10,"99"
"Power","F2.ON","N",0.95,15,"BLR","Low","Moderate",50,16,"99"
"Power","F2.ON","N",0.95,16,"BLR","Low","Moderate",100,6,"0.38"
"Power","F2.ON","N",0.95,17,"BLR","Low","Moderate",100,10,"0.53"
"Power","F2.ON","N",0.95,18,"BLR","Low","Moderate",100,16,"0.64"
"Power","F2.ON","N",0.95,19,"BLR","Low","Moderate",300,6,"0.98"
"Power","F2.ON","N",0.95,20,"BLR","Low","Moderate",300,10,"1.00"
"Power","F2.ON","N",0.95,21,"BLR","Low","Moderate",300,16,"1.00"
"Power","F2.ON","N",0.95,22,"BLR","Low","Moderate",3000,6,"1.00"
"Power","F2.ON","N",0.95,23,"BLR","Low","Moderate",3000,10,"1.00"
"Power","F2.ON","N",0.95,24,"BLR","Low","Moderate",3000,16,"1.00"
"Power","F2.ON","N",0.95,25,"BLR","Low","Strong",50,6,"99"
"Power","F2.ON","N",0.95,26,"BLR","Low","Strong",50,10,"99"
"Power","F2.ON","N",0.95,27,"BLR","Low","Strong",50,16,"99"
"Power","F2.ON","N",0.95,28,"BLR","Low","Strong",100,6,"0.17"
"Power","F2.ON","N",0.95,29,"BLR","Low","Strong",100,10,"0.43"
"Power","F2.ON","N",0.95,30,"BLR","Low","Strong",100,16,"0.72"
"Power","F2.ON","N",0.95,31,"BLR","Low","Strong",300,6,"1.00"
"Power","F2.ON","N",0.95,32,"BLR","Low","Strong",300,10,"1.00"
"Power","F2.ON","N",0.95,33,"BLR","Low","Strong",300,16,"1.00"
"Power","F2.ON","N",0.95,34,"BLR","Low","Strong",3000,6,"1.00"
"Power","F2.ON","N",0.95,35,"BLR","Low","Strong",3000,10,"1.00"
"Power","F2.ON","N",0.95,36,"BLR","Low","Strong",3000,16,"1.00"
"Power","F2.ON","N",0.95,37,"BLR","Wide","Independence",50,6,"99"
"Power","F2.ON","N",0.95,38,"BLR","Wide","Independence",50,10,"99"
"Power","F2.ON","N",0.95,39,"BLR","Wide","Independence",50,16,"99"
"Power","F2.ON","N",0.95,40,"BLR","Wide","Independence",100,6,"0.31"
"Power","F2.ON","N",0.95,41,"BLR","Wide","Independence",100,10,"0.50"
"Power","F2.ON","N",0.95,42,"BLR","Wide","Independence",100,16,"0.83"
"Power","F2.ON","N",0.95,43,"BLR","Wide","Independence",300,6,"1.00"
"Power","F2.ON","N",0.95,44,"BLR","Wide","Independence",300,10,"1.00"
"Power","F2.ON","N",0.95,45,"BLR","Wide","Independence",300,16,"1.00"
"Power","F2.ON","N",0.95,46,"BLR","Wide","Independence",3000,6,"1.00"
"Power","F2.ON","N",0.95,47,"BLR","Wide","Independence",3000,10,"1.00"
"Power","F2.ON","N",0.95,48,"BLR","Wide","Independence",3000,16,"1.00"
"Power","F2.ON","N",0.95,49,"BLR","Wide","Moderate",50,6,"99"
"Power","F2.ON","N",0.95,50,"BLR","Wide","Moderate",50,10,"99"
"Power","F2.ON","N",0.95,51,"BLR","Wide","Moderate",50,16,"99"
"Power","F2.ON","N",0.95,52,"BLR","Wide","Moderate",100,6,"0.53"
"Power","F2.ON","N",0.95,53,"BLR","Wide","Moderate",100,10,"0.70"
"Power","F2.ON","N",0.95,54,"BLR","Wide","Moderate",100,16,"0.80"
"Power","F2.ON","N",0.95,55,"BLR","Wide","Moderate",300,6,"0.99"
"Power","F2.ON","N",0.95,56,"BLR","Wide","Moderate",300,10,"1.00"
"Power","F2.ON","N",0.95,57,"BLR","Wide","Moderate",300,16,"1.00"
"Power","F2.ON","N",0.95,58,"BLR","Wide","Moderate",3000,6,"1.00"
"Power","F2.ON","N",0.95,59,"BLR","Wide","Moderate",3000,10,"1.00"
"Power","F2.ON","N",0.95,60,"BLR","Wide","Moderate",3000,16,"1.00"
"Power","F2.ON","N",0.95,61,"BLR","Wide","Strong",50,6,"0.00"
"Power","F2.ON","N",0.95,62,"BLR","Wide","Strong",50,10,"99"
"Power","F2.ON","N",0.95,63,"BLR","Wide","Strong",50,16,"99"
"Power","F2.ON","N",0.95,64,"BLR","Wide","Strong",100,6,"0.26"
"Power","F2.ON","N",0.95,65,"BLR","Wide","Strong",100,10,"0.56"
"Power","F2.ON","N",0.95,66,"BLR","Wide","Strong",100,16,"0.75"
"Power","F2.ON","N",0.95,67,"BLR","Wide","Strong",300,6,"1.00"
"Power","F2.ON","N",0.95,68,"BLR","Wide","Strong",300,10,"1.00"
